name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svps,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,matchesPlayed
Sonchat Ratiwatana,0.0,175.0,23.1156741958,784.428571429,10.2857142857,0.428571428571,0.428571428571,13.2857142857,8.85714285714,6.14285714286,2.0,2.0,0.714285714286,1.14285714286,7.0
Daniel Chavez Morales,0.0,0.0,34.1820670773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Oscar Hernandez,0.473404255319,180.0,29.1520380969,83.3936170213,598.037234043,2.42021276596,2.48404255319,74.9095744681,48.7872340426,31.3776595745,12.414893617,11.335106383,4.56914893617,7.98404255319,188.0
Daniel Langre,0.0,0.0,22.9075975359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alex Kim,0.0,175.0,23.7451309813,170.636363636,225.545454545,2.06060606061,3.0303030303,85.6060606061,54.7575757576,34.2424242424,15.3939393939,12.8484848485,4.87878787879,8.90909090909,33.0
Uros Vico,0.0,188.0,24.0602327173,166.142857143,118.428571429,8.57142857143,2.71428571429,84.4285714286,46.8571428571,33.0,19.2857142857,12.5714285714,5.42857142857,8.28571428571,7.0
Manuel Sanchez,0.0,0.0,21.5162217659,611.2,39.6,2.0,2.0,30.0,15.6,11.0,8.4,5.0,2.4,3.6,5.0
Marco Antonio Rojas,0.0,0.0,19.7180013689,1739.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Rodrigo Vallejo,0.0,0.0,27.0554414784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Salvador Navarro,0.0,180.0,25.2878850103,239.4,144.6,2.0,1.2,82.0,53.0,34.0,16.0,12.8,3.2,6.4,5.0
Jose Acasuso,1.68194070081,190.0,23.1263673111,60.1482479784,742.803234501,5.16442048518,2.61725067385,70.9272237197,38.4474393531,27.7897574124,16.4501347709,11.0377358491,3.77358490566,6.25876010782,371.0
Richard Bloomfield,0.0,185.0,24.5843600274,367.375,117.875,10.1875,4.625,81.875,46.4375,35.1875,17.4375,12.375,4.25,6.5,16.0
Taro Daniel,0.0,0.0,22.7481177276,126.636363636,489.022727273,2.72727272727,2.5,71.9545454545,46.5681818182,30.0681818182,12.4772727273,11.2045454545,4.27272727273,7.72727272727,44.0
Melvin Tong,0.0,0.0,25.4209445585,1188.71428571,2.57142857143,0.0,0.571428571429,5.71428571429,3.14285714286,1.57142857143,0.714285714286,1.0,0.571428571429,1.28571428571,7.0
Jean Nabi,0.0,0.0,29.401779603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jaroslav Levinsky,0.0,196.0,22.417522245,403.0,64.0,1.0,3.0,106.0,76.0,46.0,13.0,15.0,11.0,16.0,1.0
Teymuraz Gabashvili,0.186708860759,188.0,26.0930609345,88.9873417722,630.022151899,4.33860759494,3.81012658228,76.2721518987,43.6582278481,30.5886075949,15.7943037975,11.6297468354,4.4746835443,7.4746835443,316.0
Daniel Elsner,0.0,183.0,23.4137577002,139.5,294.40625,2.84375,4.75,76.0,41.15625,26.0625,15.78125,11.375,4.9375,9.28125,32.0
Rainer Schuettler,3.02108963093,180.0,28.524031377,48.2319859402,1090.77680141,3.42003514938,2.93497363796,75.2390158172,44.4007029877,30.4991212654,15.7961335677,11.7311072056,4.06151142355,7.00702987698,569.0
Paul Baccanello,0.0,183.0,24.7526351814,221.8,110.3,8.2,5.1,87.7,52.6,38.5,18.2,13.6,4.1,6.9,10.0
Oliver Marach,0.0,185.0,26.0180026604,132.962264151,322.754716981,4.01886792453,2.49056603774,69.0,38.358490566,26.2641509434,14.5660377358,10.3396226415,4.45283018868,7.47169811321,53.0
Marat Safin,3.84007029877,193.0,24.2379187522,24.7416520211,1910.1142355,8.3216168717,2.13708260105,78.9420035149,44.4130052724,33.3040421793,18.2108963093,12.4446397188,3.74692442882,5.88576449912,569.0
Carlos Taborga,0.0,0.0,20.8459958932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dimitar Grabuloski,0.0,0.0,27.3614723553,888.333333333,6.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Felipe Rios,0.0,0.0,18.9103353867,1285.0,2.0,0.0,6.0,44.0,29.0,15.0,3.0,7.0,0.0,5.0,1.0
Illya Marchenko,0.0,185.0,25.3530578496,107.554744526,558.532846715,4.05839416058,3.78102189781,72.2773722628,41.6934306569,29.3941605839,14.4379562044,10.9343065693,4.1897810219,6.97810218978,137.0
Guillermo Hormazabal,0.0,0.0,20.9317818846,544.333333333,68.5,1.33333333333,1.33333333333,29.6666666667,17.8333333333,11.8333333333,4.83333333333,4.66666666667,1.16666666667,3.16666666667,6.0
Carlos Cuadrado,0.0,180.0,21.1214921287,355.125,104.25,2.0,1.625,69.0,46.875,32.375,11.25,10.875,4.875,7.375,8.0
Nour Nehme,0.0,0.0,17.6509240246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Rene Busch,0.0,0.0,28.7665982204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Jacobo Chavez,0.0,0.0,30.3904859685,1182.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Americo Venero Montes,0.0,0.0,28.0260095825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Konstantin Don Gruber,0.0,183.0,24.114989733,599.5,28.0,2.5,0.5,25.5,19.0,10.5,2.5,4.0,3.0,5.0,2.0
