name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svpts,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,wfactor
Taro Daniel,0.0,0.0,22.3493383874,144.508371464,430.162054489,2.28877794657,2.34942775544,69.0197888734,44.7849885138,28.5769020267,11.989671303,10.7041367804,3.92734045003,7.25351776742,0.145830978964
Melvin Tong,0.0,0.0,25.2676656085,1246.17934426,1.81572369196,0.0,0.697379384673,6.97379384673,3.8355866157,1.91779330785,0.871724230841,1.22041392318,0.697379384673,1.56910361551,42.3818441516
Jean Nabi,0.0,0.0,29.401779603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jaroslav Levinsky,0.0,196.0,22.417522245,403.0,64.0,1.0,3.0,106.0,76.0,46.0,13.0,15.0,11.0,16.0,1.0
Teymuraz Gabashvili,0.0417090982116,188.0,22.1198896399,126.325177167,424.231445603,5.00961629853,3.70076441844,77.3384172443,43.2454180199,30.7010603784,15.9680504343,11.871234033,4.23513582867,7.45494682706,23.7415036596
Daniel Elsner,0.0,183.0,22.2479850116,117.510706416,319.836579846,3.53667431784,4.32679017998,77.8753179735,41.670932629,26.9651683249,17.2203336059,11.5343313545,4.78196765553,8.73533008666,107.138363886
Rainer Schuettler,2.61472061413,180.0,25.5554301494,43.2233598642,932.368170806,3.38377940571,3.05439442342,72.6797969282,42.1293975919,29.1717274175,15.710165269,11.3919486571,3.95920655785,6.76049286909,929.403194881
Paul Baccanello,0.0,183.0,22.6225820683,125.061456707,63.9182255897,8.5485529472,8.89695105786,98.9077029981,54.6088284159,39.6589388433,22.2423952283,15.0074001068,3.75507309827,7.00222276478,14.2601502645
Oliver Marach,0.0,185.0,23.744792714,183.694562924,262.189349796,3.41815889611,2.22740059616,81.2056916264,44.4191277445,28.8385485823,17.9690845494,11.7733680844,5.35581733612,8.95615572762,28.8481577217
Marat Safin,3.89509188098,193.0,21.4616116592,12.4317811117,2308.76979968,8.74875333389,2.00657053292,78.144894455,42.220031962,32.3008959119,19.0000177155,12.3838285928,3.56158247512,5.60050280643,1240.71238433
Carlos Taborga,0.0,0.0,20.8459958932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183156388887
Dimitar Grabuloski,0.0,0.0,26.1692239827,467.343313959,3.5072668965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851724202983
Felipe Rios,0.0,0.0,18.9103353867,1285.0,2.0,0.0,6.0,44.0,29.0,15.0,3.0,7.0,0.0,5.0,0.0183156388887
Illya Marchenko,0.0,185.0,23.0091299891,114.038537003,529.136640049,3.00970641659,3.1248463261,63.3435821392,36.943721627,25.5183011883,12.4538240003,9.54984602122,3.69191844672,6.32654710274,3.22693099687
Guillermo Hormazabal,0.0,0.0,17.6121342334,588.076123987,6.4134198686,0.704163688817,1.5721165641,35.9203889662,21.0346511789,12.4399226726,5.60192564071,5.24655209576,1.33463243448,4.05488312401,6.87254580535
Carlos Cuadrado,0.0,180.0,19.1963839658,449.577415051,74.2063124238,1.05929745358,1.41922131797,65.7075410875,43.2003806781,27.1717390401,11.0736182725,10.7280152271,4.72801522712,8.52148122845,9.99424269123
Nour Nehme,0.0,0.0,17.6509240246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00247875217667
Rene Busch,0.0,0.0,28.7665982204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7781121979
Jacobo Chavez,0.0,0.0,30.0140003782,1151.97571492,2.65024459095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0878031686
Americo Venero Montes,0.0,0.0,28.0260095825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7781121979
Konstantin Don Gruber,0.0,183.0,24.114989733,599.5,28.0,2.5,0.5,25.5,19.0,10.5,2.5,4.0,3.0,5.0,2.0
Antso Rakotondramanga,0.0,0.0,24.4682776048,976.988318541,0.686130191385,0.433600648081,0.0942610104524,3.71388381182,2.29996865504,1.69669818814,0.7917924878,0.584418264805,0.0565566062714,0.0942610104524,0.0483700504152
Favel Antonio Freyre Perdomo,0.0,0.0,18.5738599306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27067056647
Fabrice Martin,0.0,0.0,29.0937713895,175.0,62.5,8.0,3.5,82.5,49.0,34.5,16.5,13.0,2.5,6.0,0.00495750435333
Filip Krajinovic,0.0,185.0,19.2579058537,313.919030449,209.215390937,3.16152586723,1.95974969858,63.1880397743,39.8843306335,25.1270946825,11.0545961737,10.1857930573,3.41871144411,7.16625606866,0.640897196029
Thiago Monteiro,0.0,0.0,22.0398270376,175.857749931,422.162209983,2.8655409595,2.08560036916,73.2821554746,48.193245757,32.1825880691,12.6976495696,11.7759015992,4.03343234943,6.8875859782,0.0349594241933
Santiago Gonzalez,0.0,190.0,21.3342141761,405.279331754,105.781098046,0.240816148296,0.602178673517,7.93592295495,4.55257703205,3.01102237531,1.18671699647,1.18453490382,0.546648672435,1.12025097977,8.10718987863
Matwe Middelkoop,0.0,0.0,25.0805581147,230.307693816,207.951644647,3.0837900414,2.28311353541,46.3519345203,21.0315890378,11.4419934509,12.6601727413,6.67757307582,0.919592488581,3.81840211263,0.187601103781
Vasek Pospisil,2.0041117017,193.0,22.5566318447,215.379875465,668.154367275,7.37496921778,3.04099631071,65.4745021436,37.2468723727,28.0220150502,14.1647616955,10.1191080415,2.91050871021,4.79033350524,1.44567042092
Matteo Donati,0.0,0.0,20.1971252567,282.0,172.0,7.0,1.5,72.5,45.0,31.5,11.5,11.0,5.0,8.0,0.00495750435333
Andy Ram,0.0,180.0,21.5088620418,269.656860909,73.1353974122,2.9348506838,1.27780580379,36.786294576,19.0357667048,13.0053085641,8.25769682827,5.88272012019,2.1063282438,4.04741055515,26.8034703403
Gvidas Sabeckis,0.0,0.0,25.1033538672,573.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0995741367357
Vasilly Kazhera,0.0,0.0,18.4640657084,1087.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38905609893
Alex De Minaur,0.0,0.0,17.8984257358,323.8,149.6,3.4,3.8,85.2,51.6,33.6,16.0,12.8,5.6,9.6,0.00455940982777
Jean Michel Durango,0.0,0.0,19.1156741957,763.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270670566473
Elbert Sie,0.0,0.0,19.4880327389,840.531832049,14.9035750413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60945544543
Daniel Yoo,0.0,0.0,18.8911704312,0.0,0.0,3.0,5.0,55.0,36.0,25.0,3.0,8.0,5.0,9.0,1.0
Gd Jones,0.0,183.0,20.0462186518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60921830996
Jeson Patrombon,0.0,0.0,19.1815267923,1042.84908621,8.26323210069,0.0976913566515,0.34191974828,5.81263572077,3.2238147695,2.22247836382,1.12345060149,0.952490727352,0.317496909117,0.586148139909,0.10149320315
Hassan Al Mousa,0.0,0.0,19.3292265572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0497870683679
Brian Wilson,0.0,190.0,23.7535155822,472.525235309,65.5105748257,3.61859318102,6.67683228895,77.5853416884,47.2774224108,34.9972453742,13.0554844822,11.323167711,6.16920807224,8.80304968669,1.37430888999
Aziz Avganov,0.0,0.0,19.5947980835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Michael Lammer,0.0,185.0,23.9655593974,250.087091484,159.105343237,2.77640324607,3.64205691705,69.4063236495,38.22849872,23.7074094071,14.1336695044,10.4663779299,4.51996021656,8.60782601495,4.67456190705
Jan Mertl,0.0,190.0,34.0780287475,276.666666667,179.333333333,5.66666666667,4.33333333333,59.6666666667,38.0,27.6666666667,8.66666666667,8.66666666667,3.0,5.0,0.00743625653
Markus Eriksson,0.0,0.0,23.5641540697,548.381730284,58.0230765576,0.667821850383,1.62280564465,32.9965500705,21.6584814271,13.262939045,5.08725902738,4.62800397137,2.35329956044,4.01257888733,0.067960020059
Dinko Halachev,0.0,0.0,29.4373716632,1155.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00673794699909
Justin Bower,0.0,190.0,22.7133071005,351.94776663,97.2833149304,5.37471577551,2.19118206324,53.2607780089,35.0133293983,26.399271287,9.05769067175,8.27366493344,2.48414448204,3.89130080697,41.1651105919
Christos Hadjigeorgiou,0.0,0.0,18.0485998356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0616848636653
Javier Sanchez,0.0,178.0,31.9014373717,0.0,0.0,0.0,0.0,72.0,48.0,30.0,12.0,10.0,2.0,4.0,7.38905609893
Jan Minar,0.0,0.0,27.1389459274,250.0,162.5,1.0,4.0,73.5,51.0,34.5,9.5,11.5,4.0,7.5,0.270670566473
David Mullins,0.0,0.0,31.1065624769,922.595926231,1.46211715726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71828182846
Daniel Melo,0.0,185.0,24.6014145562,248.0,149.666666667,1.0,2.66666666667,80.3333333333,56.6666666667,34.6666666667,12.0,13.0,6.33333333333,10.3333333333,8.15484548538
Anas Fattar,0.0,0.0,24.8925393566,767.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183156388887
Taylor Dent,2.29132883095,188.0,21.2705532821,108.206388328,507.656140902,7.00837877314,5.154722438,72.5922918967,41.5005938165,30.7819052361,15.382157606,11.4353709445,3.49094045893,5.92641435103,359.850678258
Edouard Roger Vasselin,0.151590738705,188.0,24.0033438821,150.974511089,355.960854463,3.43678036088,2.27835079203,76.1284966039,51.2118070074,33.7339343937,12.2571171289,12.0557536195,3.54973704873,6.89592194356,8.07830769496
Pablo Bianchi,0.0,0.0,26.4862727204,411.777777778,73.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4645364561
Nikolay Davydenko,1.79536867201,178.0,22.2311896982,70.4388019635,934.940352918,2.91855826515,2.42021498558,72.7179366604,47.4424354421,31.4703419327,12.5295034802,11.3044481517,4.18639822047,7.23791953401,416.787421221
Riccardo Ghedin,0.0,188.0,24.7000169228,274.794115471,208.286462194,4.75099439627,3.17578401367,77.5280013368,46.6194408873,29.4954928003,14.7974437605,12.9564187911,2.69915846958,7.36439942536,0.0748406542557
Gilles Elseneer,0.0,188.0,24.8476707831,198.255633247,241.016287891,5.70261576214,3.38731365039,71.679594168,43.8897123498,31.4271779044,13.3934451273,11.1588456591,3.74145755937,6.18018438228,59.4587791474
