name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svpts,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,hand,wfactor
Marco Antonio Rojas,0.0,0.0,19.7180013689,1739.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.367879441171
Rodrigo Vallejo,0.0,0.0,27.0554414784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.22554092849
Salvador Navarro,0.0,180.0,24.7235003275,252.616919506,133.560572421,1.77363832317,1.0275231426,78.836884741,52.3659601287,33.4501022304,15.152630766,12.1251076234,3.15472766463,5.89979439591,1,9.64161581036
Alejandro Hernandez,0.0,180.0,23.9200819578,250.650969416,141.427875983,0.672262299694,0.874681605029,14.7175273373,8.68876292735,6.42043556272,2.60313452119,2.33990040204,0.504669775847,1.16946603613,1,51.9136858633
Richard Bloomfield,0.0,185.0,23.5118008844,354.259932423,116.370161955,10.6974594464,4.60088612015,85.8089867578,49.04648717,36.9709227945,17.7216354072,13.0031213182,4.68591076536,7.1401066167,1,10.95123243
Taro Daniel,0.0,0.0,22.6040063126,133.339360584,465.6055178,2.57600891028,2.40943520262,70.3215536999,45.5580593013,29.2670705964,12.1943484477,10.94913887,4.16446486671,7.56852360122,1,5.5419723306
Melvin Tong,0.0,0.0,25.3829610041,1202.95451361,2.38415982108,0.0,0.60264002982,6.0264002982,3.31452016401,1.65726008201,0.753300037275,1.05462005219,0.60264002982,1.3559400671,1,18.0424909993
Jean Nabi,0.0,0.0,29.401779603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.49182469764
Jaroslav Levinsky,0.0,196.0,22.417522245,403.0,64.0,1.0,3.0,106.0,76.0,46.0,13.0,15.0,11.0,16.0,1,1.49182469764
Teymuraz Gabashvili,0.0965917775934,188.0,23.9573534489,102.871562238,545.351955949,4.65761989007,3.87532939875,76.5146608998,43.2208056692,30.4494026671,15.9421143992,11.7101831767,4.42391338353,7.51213698766,1,117.777053561
Daniel Elsner,0.0,183.0,22.8302981099,129.540176169,310.432700522,3.10245546145,4.74785926776,78.0917676472,41.7836485674,26.8150905996,16.60502698,11.5842576075,4.97789185501,9.24401913144,1,62.756092123
